Month,Reporting airport,Type of flight,Arrival/departure,Total Number of passengers,"Total Freight and mail total, tonne","Total Number of passengers, cumulative from the beginning of the year","Total Freight and mail, cumulative from the beginning of the year, tonnes",Helsinki-Vantaa Number of passengers,"Helsinki-Vantaa Freight and mail total, tonne","Helsinki-Vantaa Number of passengers, cumulative from the beginning of the year","Helsinki-Vantaa Freight and mail, cumulative from the beginning of the year, tonnes",Other domestic airports Number of passengers,"Other domestic airports Freight and mail total, tonne","Other domestic airports Number of passengers, cumulative from the beginning of the year","Other domestic airports Freight and mail, cumulative from the beginning of the year, tonnes",International Number of passengers,"International Freight and mail total, tonne","International Number of passengers, cumulative from the beginning of the year","International Freight and mail, cumulative from the beginning of the year, tonnes"
2019M01,Total,Total,Arrivals/departures total,1969169,16265,1969169,16265,276932,55,276932,55,279130,177,279130,177,1413107,16033,1413107,16033
2019M01,Total,Total,Arrivals,984340,7550,984340,7550,129975,41,129975,41,147386,13,147386,13,706979,7495,706979,7495
2019M01,Total,Total,Departures,984829,8715,984829,8715,146957,13,146957,13,131744,164,131744,164,706128,8538,706128,8538
2019M01,Total,Scheduled flight,Arrivals/departures total,1857115,14743,1857115,14743,276649,55,276649,55,278772,177,278772,177,1301694,14511,1301694,14511
2019M01,Total,Scheduled flight,Arrivals,931756,6733,931756,6733,129719,41,129719,41,147185,13,147185,13,654852,6678,654852,6678
2019M01,Total,Scheduled flight,Departures,925359,8010,925359,8010,146930,13,146930,13,131587,164,131587,164,646842,7833,646842,7833
2019M01,Total,Charter flight,Arrivals/departures total,112054,1522,112054,1522,283,0,283,0,358,0,358,0,111413,1522,111413,1522
2019M01,Total,Charter flight,Arrivals,52584,817,52584,817,256,0,256,0,201,0,201,0,52127,817,52127,817
2019M01,Total,Charter flight,Departures,59470,704,59470,704,27,0,27,0,157,0,157,0,59286,704,59286,704
2019M01,Helsinki-Vantaa,Total,Arrivals/departures total,1574950,15841,1574950,15841,0,0,0,0,277569,177,277569,177,1297381,15664,1297381,15664
2019M01,Helsinki-Vantaa,Total,Arrivals,798402,7322,798402,7322,0,0,0,0,146588,13,146588,13,651814,7309,651814,7309
2019M01,Helsinki-Vantaa,Total,Departures,776548,8518,776548,8518,0,0,0,0,130981,164,130981,164,645567,8355,645567,8355
2019M01,Helsinki-Vantaa,Scheduled flight,Arrivals/departures total,1525370,14328,1525370,14328,0,0,0,0,277494,177,277494,177,1247876,14151,1247876,14151
2019M01,Helsinki-Vantaa,Scheduled flight,Arrivals,774769,6509,774769,6509,0,0,0,0,146565,13,146565,13,628204,6496,628204,6496
2019M01,Helsinki-Vantaa,Scheduled flight,Departures,750601,7819,750601,7819,0,0,0,0,130929,164,130929,164,619672,7655,619672,7655
2019M01,Helsinki-Vantaa,Charter flight,Arrivals/departures total,49580,1512,49580,1512,0,0,0,0,75,0,75,0,49505,1512,49505,1512
2019M01,Helsinki-Vantaa,Charter flight,Arrivals,23633,813,23633,813,0,0,0,0,23,0,23,0,23610,813,23610,813
2019M01,Helsinki-Vantaa,Charter flight,Departures,25947,699,25947,699,0,0,0,0,52,0,52,0,25895,699,25895,699
2019M01,Enontekiö,Total,Arrivals/departures total,1769,0,1769,0,0,0,0,0,0,0,0,0,1769,0,1769,0
2019M01,Enontekiö,Total,Arrivals,882,0,882,0,0,0,0,0,0,0,0,0,882,0,882,0
2019M01,Enontekiö,Total,Departures,887,0,887,0,0,0,0,0,0,0,0,0,887,0,887,0
2019M01,Enontekiö,Scheduled flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Scheduled flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Scheduled flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Charter flight,Arrivals/departures total,1769,0,1769,0,0,0,0,0,0,0,0,0,1769,0,1769,0
2019M01,Enontekiö,Charter flight,Arrivals,882,0,882,0,0,0,0,0,0,0,0,0,882,0,882,0
2019M01,Enontekiö,Charter flight,Departures,887,0,887,0,0,0,0,0,0,0,0,0,887,0,887,0
2019M01,Ivalo,Total,Arrivals/departures total,34161,0,34161,0,27308,0,27308,0,18,0,18,0,6835,0,6835,0
2019M01,Ivalo,Total,Arrivals,16222,0,16222,0,13022,0,13022,0,18,0,18,0,3182,0,3182,0
2019M01,Ivalo,Total,Departures,17939,0,17939,0,14286,0,14286,0,0,0,0,0,3653,0,3653,0
2019M01,Ivalo,Scheduled flight,Arrivals/departures total,30259,0,30259,0,27302,0,27302,0,18,0,18,0,2939,0,2939,0
2019M01,Ivalo,Scheduled flight,Arrivals,14490,0,14490,0,13018,0,13018,0,18,0,18,0,1454,0,1454,0
2019M01,Ivalo,Scheduled flight,Departures,15769,0,15769,0,14284,0,14284,0,0,0,0,0,1485,0,1485,0
2019M01,Ivalo,Charter flight,Arrivals/departures total,3902,0,3902,0,6,0,6,0,0,0,0,0,3896,0,3896,0
2019M01,Ivalo,Charter flight,Arrivals,1732,0,1732,0,4,0,4,0,0,0,0,0,1728,0,1728,0
2019M01,Ivalo,Charter flight,Departures,2170,0,2170,0,2,0,2,0,0,0,0,0,2168,0,2168,0
2019M01,Joensuu,Total,Arrivals/departures total,8842,2,8842,2,8822,2,8822,2,0,0,0,0,20,0,20,0
2019M01,Joensuu,Total,Arrivals,4332,2,4332,2,4322,2,4322,2,0,0,0,0,10,0,10,0
2019M01,Joensuu,Total,Departures,4510,0,4510,0,4500,0,4500,0,0,0,0,0,10,0,10,0
2019M01,Joensuu,Scheduled flight,Arrivals/departures total,8822,2,8822,2,8822,2,8822,2,0,0,0,0,0,0,0,0
2019M01,Joensuu,Scheduled flight,Arrivals,4322,2,4322,2,4322,2,4322,2,0,0,0,0,0,0,0,0
2019M01,Joensuu,Scheduled flight,Departures,4500,0,4500,0,4500,0,4500,0,0,0,0,0,0,0,0,0
2019M01,Joensuu,Charter flight,Arrivals/departures total,20,0,20,0,0,0,0,0,0,0,0,0,20,0,20,0
2019M01,Joensuu,Charter flight,Arrivals,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0
2019M01,Joensuu,Charter flight,Departures,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0
2019M01,Jyväskylä,Total,Arrivals/departures total,4300,1,4300,1,4273,1,4273,1,2,0,2,0,25,0,25,0
2019M01,Jyväskylä,Total,Arrivals,1906,1,1906,1,1892,1,1892,1,1,0,1,0,13,0,13,0
2019M01,Jyväskylä,Total,Departures,2394,0,2394,0,2381,0,2381,0,1,0,1,0,12,0,12,0
2019M01,Jyväskylä,Scheduled flight,Arrivals/departures total,4271,1,4271,1,4269,1,4269,1,2,0,2,0,0,0,0,0
2019M01,Jyväskylä,Scheduled flight,Arrivals,1891,1,1891,1,1890,1,1890,1,1,0,1,0,0,0,0,0
2019M01,Jyväskylä,Scheduled flight,Departures,2380,0,2380,0,2379,0,2379,0,1,0,1,0,0,0,0,0
2019M01,Jyväskylä,Charter flight,Arrivals/departures total,29,0,29,0,4,0,4,0,0,0,0,0,25,0,25,0
2019M01,Jyväskylä,Charter flight,Arrivals,15,0,15,0,2,0,2,0,0,0,0,0,13,0,13,0
2019M01,Jyväskylä,Charter flight,Departures,14,0,14,0,2,0,2,0,0,0,0,0,12,0,12,0
2019M01,Kajaani,Total,Arrivals/departures total,8325,2,8325,2,7592,2,7592,2,1,0,1,0,732,0,732,0
2019M01,Kajaani,Total,Arrivals,3798,1,3798,1,3552,1,3552,1,0,0,0,0,246,0,246,0
2019M01,Kajaani,Total,Departures,4527,0,4527,0,4040,0,4040,0,1,0,1,0,486,0,486,0
2019M01,Kajaani,Scheduled flight,Arrivals/departures total,7593,2,7593,2,7592,2,7592,2,1,0,1,0,0,0,0,0
2019M01,Kajaani,Scheduled flight,Arrivals,3552,1,3552,1,3552,1,3552,1,0,0,0,0,0,0,0,0
2019M01,Kajaani,Scheduled flight,Departures,4041,0,4041,0,4040,0,4040,0,1,0,1,0,0,0,0,0
2019M01,Kajaani,Charter flight,Arrivals/departures total,732,0,732,0,0,0,0,0,0,0,0,0,732,0,732,0
2019M01,Kajaani,Charter flight,Arrivals,246,0,246,0,0,0,0,0,0,0,0,0,246,0,246,0
2019M01,Kajaani,Charter flight,Departures,486,0,486,0,0,0,0,0,0,0,0,0,486,0,486,0
2019M01,Kemi-Tornio,Total,Arrivals/departures total,5906,1,5906,1,5900,1,5900,1,6,0,6,0,0,0,0,0
2019M01,Kemi-Tornio,Total,Arrivals,2630,1,2630,1,2626,1,2626,1,4,0,4,0,0,0,0,0
2019M01,Kemi-Tornio,Total,Departures,3276,0,3276,0,3274,0,3274,0,2,0,2,0,0,0,0,0
2019M01,Kemi-Tornio,Scheduled flight,Arrivals/departures total,5906,1,5906,1,5900,1,5900,1,6,0,6,0,0,0,0,0
2019M01,Kemi-Tornio,Scheduled flight,Arrivals,2630,1,2630,1,2626,1,2626,1,4,0,4,0,0,0,0,0
2019M01,Kemi-Tornio,Scheduled flight,Departures,3276,0,3276,0,3274,0,3274,0,2,0,2,0,0,0,0,0
2019M01,Kemi-Tornio,Charter flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Kemi-Tornio,Charter flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Kemi-Tornio,Charter flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Kittilä,Total,Arrivals/departures total,58988,0,58988,0,29760,0,29760,0,20,0,20,0,29208,0,29208,0
2019M01,Kittilä,Total,Arrivals,26905,0,26905,0,13175,0,13175,0,0,0,0,0,13730,0,13730,0
2019M01,Kittilä,Total,Departures,32083,0,32083,0,16585,0,16585,0,20,0,20,0,15478,0,15478,0
2019M01,Kittilä,Scheduled flight,Arrivals/departures total,37108,0,37108,0,29746,0,29746,0,18,0,18,0,7344,0,7344,0
2019M01,Kittilä,Scheduled flight,Arrivals,16679,0,16679,0,13165,0,13165,0,0,0,0,0,3514,0,3514,0
2019M01,Kittilä,Scheduled flight,Departures,20429,0,20429,0,16581,0,16581,0,18,0,18,0,3830,0,3830,0
2019M01,Kittilä,Charter flight,Arrivals/departures total,21880,0,21880,0,14,0,14,0,2,0,2,0,21864,0,21864,0
2019M01,Kittilä,Charter flight,Arrivals,10226,0,10226,0,10,0,10,0,0,0,0,0,10216,0,10216,0
2019M01,Kittilä,Charter flight,Departures,11654,0,11654,0,4,0,4,0,2,0,2,0,11648,0,11648,0
2019M01,Kokkola-Pietarsaari,Total,Arrivals/departures total,4111,1,4111,1,4083,1,4083,1,7,0,7,0,21,0,21,0
2019M01,Kokkola-Pietarsaari,Total,Arrivals,1971,1,1971,1,1957,1,1957,1,3,0,3,0,11,0,11,0
2019M01,Kokkola-Pietarsaari,Total,Departures,2140,0,2140,0,2126,0,2126,0,4,0,4,0,10,0,10,0
2019M01,Kokkola-Pietarsaari,Scheduled flight,Arrivals/departures total,4090,1,4090,1,4083,1,4083,1,7,0,7,0,0,0,0,0
2019M01,Kokkola-Pietarsaari,Scheduled flight,Arrivals,1960,1,1960,1,1957,1,1957,1,3,0,3,0,0,0,0,0
2019M01,Kokkola-Pietarsaari,Scheduled flight,Departures,2130,0,2130,0,2126,0,2126,0,4,0,4,0,0,0,0,0
2019M01,Kokkola-Pietarsaari,Charter flight,Arrivals/departures total,21,0,21,0,0,0,0,0,0,0,0,0,21,0,21,0
2019M01,Kokkola-Pietarsaari,Charter flight,Arrivals,11,0,11,0,0,0,0,0,0,0,0,0,11,0,11,0
2019M01,Kokkola-Pietarsaari,Charter flight,Departures,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0
2019M01,Kuopio,Total,Arrivals/departures total,18655,2,18655,2,16724,2,16724,2,0,0,0,0,1931,0,1931,0
2019M01,Kuopio,Total,Arrivals,8951,2,8951,2,8093,2,8093,2,0,0,0,0,858,0,858,0
2019M01,Kuopio,Total,Departures,9704,0,9704,0,8631,0,8631,0,0,0,0,0,1073,0,1073,0
2019M01,Kuopio,Scheduled flight,Arrivals/departures total,16524,2,16524,2,16524,2,16524,2,0,0,0,0,0,0,0,0
2019M01,Kuopio,Scheduled flight,Arrivals,7893,2,7893,2,7893,2,7893,2,0,0,0,0,0,0,0,0
2019M01,Kuopio,Scheduled flight,Departures,8631,0,8631,0,8631,0,8631,0,0,0,0,0,0,0,0,0
2019M01,Kuopio,Charter flight,Arrivals/departures total,2131,0,2131,0,200,0,200,0,0,0,0,0,1931,0,1931,0
2019M01,Kuopio,Charter flight,Arrivals,1058,0,1058,0,200,0,200,0,0,0,0,0,858,0,858,0
2019M01,Kuopio,Charter flight,Departures,1073,0,1073,0,0,0,0,0,0,0,0,0,1073,0,1073,0
2019M01,Kuusamo,Total,Arrivals/departures total,16625,0,16625,0,7525,0,7525,0,82,0,82,0,9018,0,9018,0
2019M01,Kuusamo,Total,Arrivals,7192,0,7192,0,3070,0,3070,0,82,0,82,0,4040,0,4040,0
2019M01,Kuusamo,Total,Departures,9433,0,9433,0,4455,0,4455,0,0,0,0,0,4978,0,4978,0
2019M01,Kuusamo,Scheduled flight,Arrivals/departures total,8425,0,8425,0,7487,0,7487,0,0,0,0,0,938,0,938,0
2019M01,Kuusamo,Scheduled flight,Arrivals,3518,0,3518,0,3051,0,3051,0,0,0,0,0,467,0,467,0
2019M01,Kuusamo,Scheduled flight,Departures,4907,0,4907,0,4436,0,4436,0,0,0,0,0,471,0,471,0
2019M01,Kuusamo,Charter flight,Arrivals/departures total,8200,0,8200,0,38,0,38,0,82,0,82,0,8080,0,8080,0
2019M01,Kuusamo,Charter flight,Arrivals,3674,0,3674,0,19,0,19,0,82,0,82,0,3573,0,3573,0
2019M01,Kuusamo,Charter flight,Departures,4526,0,4526,0,19,0,19,0,0,0,0,0,4507,0,4507,0
2019M01,Lappeenranta,Total,Arrivals/departures total,10,0,10,0,0,0,0,0,7,0,7,0,3,0,3,0
2019M01,Lappeenranta,Total,Arrivals,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0
2019M01,Lappeenranta,Total,Departures,7,0,7,0,0,0,0,0,7,0,7,0,0,0,0,0
2019M01,Lappeenranta,Scheduled flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Lappeenranta,Scheduled flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Lappeenranta,Scheduled flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Lappeenranta,Charter flight,Arrivals/departures total,10,0,10,0,0,0,0,0,7,0,7,0,3,0,3,0
2019M01,Lappeenranta,Charter flight,Arrivals,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0
2019M01,Lappeenranta,Charter flight,Departures,7,0,7,0,0,0,0,0,7,0,7,0,0,0,0,0
2019M01,Mariehamn,Total,Arrivals/departures total,4212,11,4212,11,2193,11,2193,11,617,0,617,0,1402,0,1402,0
2019M01,Mariehamn,Total,Arrivals,2036,10,2036,10,1070,10,1070,10,294,0,294,0,672,0,672,0
2019M01,Mariehamn,Total,Departures,2176,1,2176,1,1123,1,1123,1,323,0,323,0,730,0,730,0
2019M01,Mariehamn,Scheduled flight,Arrivals/departures total,4212,11,4212,11,2193,11,2193,11,617,0,617,0,1402,0,1402,0
2019M01,Mariehamn,Scheduled flight,Arrivals,2036,10,2036,10,1070,10,1070,10,294,0,294,0,672,0,672,0
2019M01,Mariehamn,Scheduled flight,Departures,2176,1,2176,1,1123,1,1123,1,323,0,323,0,730,0,730,0
2019M01,Mariehamn,Charter flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Mariehamn,Charter flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Mariehamn,Charter flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Oulu,Total,Arrivals/departures total,85249,24,85249,24,76805,24,76805,24,0,0,0,0,8444,0,8444,0
2019M01,Oulu,Total,Arrivals,41580,14,41580,14,37186,14,37186,14,0,0,0,0,4394,0,4394,0
2019M01,Oulu,Total,Departures,43669,10,43669,10,39619,10,39619,10,0,0,0,0,4050,0,4050,0
2019M01,Oulu,Scheduled flight,Arrivals/departures total,80964,24,80964,24,76805,24,76805,24,0,0,0,0,4159,0,4159,0
2019M01,Oulu,Scheduled flight,Arrivals,39184,14,39184,14,37186,14,37186,14,0,0,0,0,1998,0,1998,0
2019M01,Oulu,Scheduled flight,Departures,41780,10,41780,10,39619,10,39619,10,0,0,0,0,2161,0,2161,0
2019M01,Oulu,Charter flight,Arrivals/departures total,4285,0,4285,0,0,0,0,0,0,0,0,0,4285,0,4285,0
2019M01,Oulu,Charter flight,Arrivals,2396,0,2396,0,0,0,0,0,0,0,0,0,2396,0,2396,0
2019M01,Oulu,Charter flight,Departures,1889,0,1889,0,0,0,0,0,0,0,0,0,1889,0,1889,0
2019M01,Pori,Total,Arrivals/departures total,14,0,14,0,0,0,0,0,0,0,0,0,14,0,14,0
2019M01,Pori,Total,Arrivals,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0
2019M01,Pori,Total,Departures,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0
2019M01,Pori,Scheduled flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Pori,Scheduled flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Pori,Scheduled flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Pori,Charter flight,Arrivals/departures total,14,0,14,0,0,0,0,0,0,0,0,0,14,0,14,0
2019M01,Pori,Charter flight,Arrivals,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0
2019M01,Pori,Charter flight,Departures,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0
2019M01,Rovaniemi,Total,Arrivals/departures total,76918,8,76918,8,60475,8,60475,8,192,0,192,0,16251,0,16251,0
2019M01,Rovaniemi,Total,Arrivals,34821,6,34821,6,27821,6,27821,6,96,0,96,0,6904,0,6904,0
2019M01,Rovaniemi,Total,Departures,42097,2,42097,2,32654,2,32654,2,96,0,96,0,9347,0,9347,0
2019M01,Rovaniemi,Scheduled flight,Arrivals/departures total,66456,8,66456,8,60454,8,60454,8,0,0,0,0,6002,0,6002,0
2019M01,Rovaniemi,Scheduled flight,Arrivals,30601,6,30601,6,27800,6,27800,6,0,0,0,0,2801,0,2801,0
2019M01,Rovaniemi,Scheduled flight,Departures,35855,2,35855,2,32654,2,32654,2,0,0,0,0,3201,0,3201,0
2019M01,Rovaniemi,Charter flight,Arrivals/departures total,10462,0,10462,0,21,0,21,0,192,0,192,0,10249,0,10249,0
2019M01,Rovaniemi,Charter flight,Arrivals,4220,0,4220,0,21,0,21,0,96,0,96,0,4103,0,4103,0
2019M01,Rovaniemi,Charter flight,Departures,6242,0,6242,0,0,0,0,0,96,0,96,0,6146,0,6146,0
2019M01,Savonlinna,Total,Arrivals/departures total,472,0,472,0,472,0,472,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Total,Arrivals,236,0,236,0,236,0,236,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Total,Departures,236,0,236,0,236,0,236,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Scheduled flight,Arrivals/departures total,472,0,472,0,472,0,472,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Scheduled flight,Arrivals,236,0,236,0,236,0,236,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Scheduled flight,Departures,236,0,236,0,236,0,236,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Charter flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Charter flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Savonlinna,Charter flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Tampere-Pirkkala,Total,Arrivals/departures total,17084,5,17084,5,6596,0,6596,0,0,0,0,0,10488,5,10488,5
2019M01,Tampere-Pirkkala,Total,Arrivals,8269,0,8269,0,3102,0,3102,0,0,0,0,0,5167,0,5167,0
2019M01,Tampere-Pirkkala,Total,Departures,8815,5,8815,5,3494,0,3494,0,0,0,0,0,5321,5,5321,5
2019M01,Tampere-Pirkkala,Scheduled flight,Arrivals/departures total,14983,0,14983,0,6596,0,6596,0,0,0,0,0,8387,0,8387,0
2019M01,Tampere-Pirkkala,Scheduled flight,Arrivals,7249,0,7249,0,3102,0,3102,0,0,0,0,0,4147,0,4147,0
2019M01,Tampere-Pirkkala,Scheduled flight,Departures,7734,0,7734,0,3494,0,3494,0,0,0,0,0,4240,0,4240,0
2019M01,Tampere-Pirkkala,Charter flight,Arrivals/departures total,2101,5,2101,5,0,0,0,0,0,0,0,0,2101,5,2101,5
2019M01,Tampere-Pirkkala,Charter flight,Arrivals,1020,0,1020,0,0,0,0,0,0,0,0,0,1020,0,1020,0
2019M01,Tampere-Pirkkala,Charter flight,Departures,1081,5,1081,5,0,0,0,0,0,0,0,0,1081,5,1081,5
2019M01,Turku,Total,Arrivals/departures total,26528,365,26528,365,5880,0,5880,0,609,0,609,0,20039,365,20039,365
2019M01,Turku,Total,Arrivals,13452,187,13452,187,2768,0,2768,0,300,0,300,0,10384,187,10384,187
2019M01,Turku,Total,Departures,13076,178,13076,178,3112,0,3112,0,309,0,309,0,9655,178,9655,178
2019M01,Turku,Scheduled flight,Arrivals/departures total,22996,360,22996,360,5880,0,5880,0,609,0,609,0,16507,360,16507,360
2019M01,Turku,Scheduled flight,Arrivals,11679,183,11679,183,2768,0,2768,0,300,0,300,0,8611,182,8611,182
2019M01,Turku,Scheduled flight,Departures,11317,178,11317,178,3112,0,3112,0,309,0,309,0,7896,178,7896,178
2019M01,Turku,Charter flight,Arrivals/departures total,3532,4,3532,4,0,0,0,0,0,0,0,0,3532,4,3532,4
2019M01,Turku,Charter flight,Arrivals,1773,4,1773,4,0,0,0,0,0,0,0,0,1773,4,1773,4
2019M01,Turku,Charter flight,Departures,1759,0,1759,0,0,0,0,0,0,0,0,0,1759,0,1759,0
2019M01,Vaasa,Total,Arrivals/departures total,22050,2,22050,2,12524,2,12524,2,0,0,0,0,9526,0,9526,0
2019M01,Vaasa,Total,Arrivals,10745,2,10745,2,6083,2,6083,2,0,0,0,0,4662,0,4662,0
2019M01,Vaasa,Total,Departures,11305,0,11305,0,6441,0,6441,0,0,0,0,0,4864,0,4864,0
2019M01,Vaasa,Scheduled flight,Arrivals/departures total,18664,2,18664,2,12524,2,12524,2,0,0,0,0,6140,0,6140,0
2019M01,Vaasa,Scheduled flight,Arrivals,9067,2,9067,2,6083,2,6083,2,0,0,0,0,2984,0,2984,0
2019M01,Vaasa,Scheduled flight,Departures,9597,0,9597,0,6441,0,6441,0,0,0,0,0,3156,0,3156,0
2019M01,Vaasa,Charter flight,Arrivals/departures total,3386,0,3386,0,0,0,0,0,0,0,0,0,3386,0,3386,0
2019M01,Vaasa,Charter flight,Arrivals,1678,0,1678,0,0,0,0,0,0,0,0,0,1678,0,1678,0
2019M01,Vaasa,Charter flight,Departures,1708,0,1708,0,0,0,0,0,0,0,0,0,1708,0,1708,0
2019M02,Total,Total,Arrivals/departures total,1951842,14872,3921011,31136,293883,48,570815,102,296287,136,575417,313,1361672,14688,2774779,30721
2019M02,Total,Total,Arrivals,966233,6387,1950573,13937,146605,36,276580,77,147867,12,295253,26,671761,6339,1378740,13834
2019M02,Total,Total,Departures,985609,8485,1970438,17199,147278,12,294235,25,148420,124,280164,288,689911,8349,1396039,16886
2019M02,Total,Scheduled flight,Arrivals/departures total,1840350,13460,3697465,28203,293578,48,570227,102,296121,136,574893,313,1250651,13276,2552345,27788
2019M02,Total,Scheduled flight,Arrivals,912018,5652,1843774,12385,146453,36,276172,77,147786,12,294971,26,617779,5604,1272631,12282
2019M02,Total,Scheduled flight,Departures,928332,7808,1853691,15819,147125,12,294055,25,148335,124,279922,288,632872,7672,1279714,15505
2019M02,Total,Charter flight,Arrivals/departures total,111492,1411,223546,2933,305,0,588,0,166,0,524,0,111021,1411,222434,2933
2019M02,Total,Charter flight,Arrivals,54215,735,106799,1552,152,0,408,0,81,0,282,0,53982,735,106109,1552
2019M02,Total,Charter flight,Departures,57277,677,116747,1381,153,0,180,0,85,0,242,0,57039,677,116325,1381
2019M02,Helsinki-Vantaa,Total,Arrivals/departures total,1539732,14519,3114682,30360,0,0,0,0,294249,136,571818,313,1245483,14384,2542864,30047
2019M02,Helsinki-Vantaa,Total,Arrivals,761165,6213,1559567,13535,0,0,0,0,146806,12,293394,25,614359,6201,1266173,13509
2019M02,Helsinki-Vantaa,Total,Departures,778567,8307,1555115,16825,0,0,0,0,147443,124,278424,288,631124,8183,1276691,16538
2019M02,Helsinki-Vantaa,Scheduled flight,Arrivals/departures total,1490337,13109,3015707,27437,0,0,0,0,294245,136,571739,313,1196092,12973,2443968,27124
2019M02,Helsinki-Vantaa,Scheduled flight,Arrivals,737787,5478,1512556,11987,0,0,0,0,146806,12,293371,25,590981,5466,1219185,11962
2019M02,Helsinki-Vantaa,Scheduled flight,Departures,752550,7631,1503151,15450,0,0,0,0,147439,124,278368,288,605111,7507,1224783,15162
2019M02,Helsinki-Vantaa,Charter flight,Arrivals/departures total,49395,1411,98975,2923,0,0,0,0,4,0,79,0,49391,1411,98896,2923
2019M02,Helsinki-Vantaa,Charter flight,Arrivals,23378,735,47011,1548,0,0,0,0,0,0,23,0,23378,735,46988,1548
2019M02,Helsinki-Vantaa,Charter flight,Departures,26017,676,51964,1376,0,0,0,0,4,0,56,0,26013,676,51908,1376
2019M02,Enontekiö,Total,Arrivals/departures total,1523,0,3292,0,0,0,0,0,0,0,0,0,1523,0,3292,0
2019M02,Enontekiö,Total,Arrivals,749,0,1631,0,0,0,0,0,0,0,0,0,749,0,1631,0
2019M02,Enontekiö,Total,Departures,774,0,1661,0,0,0,0,0,0,0,0,0,774,0,1661,0
2019M02,Enontekiö,Scheduled flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M02,Enontekiö,Scheduled flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M02,Enontekiö,Scheduled flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M02,Enontekiö,Charter flight,Arrivals/departures total,1523,0,3292,0,0,0,0,0,0,0,0,0,1523,0,3292,0
2019M02,Enontekiö,Charter flight,Arrivals,749,0,1631,0,0,0,0,0,0,0,0,0,749,0,1631,0
2019M02,Enontekiö,Charter flight,Departures,774,0,1661,0,0,0,0,0,0,0,0,0,774,0,1661,0
2019M02,Ivalo,Total,Arrivals/departures total,37744,0,71905,0,30994,0,58302,0,0,0,18,0,6750,0,13585,0
2019M02,Ivalo,Total,Arrivals,19647,0,35869,0,16215,0,29237,0,0,0,18,0,3432,0,6614,0
2019M02,Ivalo,Total,Departures,18097,0,36036,0,14779,0,29065,0,0,0,0,0,3318,0,6971,0
2019M02,Ivalo,Scheduled flight,Arrivals/departures total,34659,0,64918,0,30991,0,58293,0,0,0,18,0,3668,0,6607,0
2019M02,Ivalo,Scheduled flight,Arrivals,18163,0,32653,0,16212,0,29230,0,0,0,18,0,1951,0,3405,0
2019M02,Ivalo,Scheduled flight,Departures,16496,0,32265,0,14779,0,29063,0,0,0,0,0,1717,0,3202,0
2019M02,Ivalo,Charter flight,Arrivals/departures total,3085,0,6987,0,3,0,9,0,0,0,0,0,3082,0,6978,0
